#Transcript position	Transcript coverage profile
0.0	36195.47335709113
1.0	39264.653578610654
2.0	41987.51255306956
3.0	43602.82219558655
4.0	45119.0760761004
5.0	46715.09268152912
6.0	47693.64024595316
7.0	48616.788674106225
8.0	49374.313109739596
9.0	50353.59575067255
10.0	51117.94534732931
11.0	51565.898753407
12.0	51739.53212530367
13.0	52220.87276302804
14.0	52721.353597934765
15.0	53319.1807384353
16.0	53780.64489962236
17.0	54444.82994163692
18.0	55010.47105968863
19.0	55248.71795327825
20.0	55751.1288147915
21.0	56279.78364160557
22.0	56863.58822313889
23.0	57291.931252029826
24.0	57647.23612645012
25.0	58118.738266644235
26.0	58654.808112464256
27.0	59057.22471234291
28.0	59421.98317526189
29.0	59825.5930442998
30.0	59517.009847776455
31.0	59311.88162903933
32.0	59559.962314383825
33.0	59705.4756132644
34.0	59754.97613931466
35.0	60107.32360514937
36.0	59961.96493411014
37.0	59665.190475516436
38.0	59840.69059379017
39.0	60205.73399830393
40.0	60417.11670026001
41.0	60661.06033528912
42.0	61226.24707661554
43.0	61498.83133470662
44.0	61527.21372264238
45.0	61749.2251225099
46.0	61811.38552694407
47.0	61588.68010024974
48.0	61189.5448079458
49.0	61101.59396353671
50.0	61196.551349861715
51.0	61773.572829324105
52.0	62032.72830521447
53.0	62203.650138739235
54.0	62529.14078114231
55.0	62328.47882293948
56.0	62131.7369470575
57.0	61798.45481800676
58.0	61605.97945161896
59.0	61625.156165276494
60.0	61592.687139327136
61.0	61963.89976927786
62.0	62252.68149262516
63.0	62195.3132868795
64.0	62292.48510034383
65.0	62277.46039168984
66.0	61914.55654044556
67.0	61757.48048802269
68.0	61642.93999002591
69.0	61416.083890720605
70.0	61583.92422193723
71.0	61548.5685759848
72.0	61675.42503371954
73.0	61956.49635777145
74.0	61880.26806683618
75.0	61762.05374990227
76.0	61523.07825672344
77.0	61202.585135106725
78.0	60858.79378410492
79.0	60702.49597712475
80.0	60435.87105710302
81.0	60225.188090928124
82.0	59827.75180241267
83.0	59615.91956956933
84.0	59116.260785814244
85.0	58357.134770279146
86.0	57553.839149498854
87.0	55952.02810863119
88.0	53685.220067198796
89.0	51072.0568972123
90.0	48274.72259489809
91.0	45023.4160937034
92.0	41474.58289990089
93.0	36842.470578091066
94.0	32365.27219667231
95.0	27104.5195175575
96.0	21322.533135720303
97.0	15265.512820861972
98.0	8892.657935348458
99.0	2627.4866813607446
