#Transcript position	Transcript coverage profile
0.0	7440.648496421799
1.0	8303.612807424746
2.0	9284.168300755264
3.0	9909.325743521029
4.0	10594.233015773963
5.0	11254.913542548913
6.0	11497.279330744888
7.0	11920.926446165306
8.0	12072.632569022913
9.0	12282.42243841218
10.0	12539.626890136135
11.0	12576.718575062212
12.0	12715.460058822959
13.0	12723.969594027185
14.0	12994.627558567001
15.0	13070.96845076441
16.0	13195.578908918138
17.0	13657.179544788702
18.0	13760.796356858069
19.0	13571.034358534245
20.0	13497.818228966396
21.0	13548.972915815037
22.0	13788.210061158845
23.0	13804.236747524594
24.0	13672.097655443527
25.0	13685.359348158396
26.0	13893.75902405511
27.0	14402.099542453638
28.0	14899.670080063095
29.0	15479.047085755601
30.0	15451.569146241227
31.0	15125.014040818705
32.0	15226.261148328344
33.0	15504.444045520784
34.0	15673.285454894489
35.0	16124.51719531355
36.0	15757.331675787136
37.0	15149.789696527983
38.0	15152.081579543948
39.0	15263.132445646701
40.0	15308.354190982094
41.0	15150.609031154137
42.0	15446.59380195984
43.0	15330.533312403897
44.0	15355.386221640174
45.0	15695.644417660424
46.0	15591.044595055157
47.0	15002.24543205335
48.0	14283.859990853194
49.0	13980.968198243236
50.0	14242.974527065757
51.0	14727.02831414085
52.0	14699.795462363887
53.0	15141.688459783123
54.0	15534.338943948884
55.0	15394.74134670985
56.0	14936.919680851714
57.0	14584.087304995426
58.0	14367.083282617637
59.0	14003.831473833572
60.0	13635.505471645687
61.0	13868.176983361605
62.0	14159.4283816624
63.0	14212.102151621488
64.0	14254.991999341273
65.0	14121.410277075773
66.0	13889.16341172209
67.0	13917.492976934038
68.0	13895.490940362994
69.0	13586.639126899632
70.0	13681.79656758633
71.0	13572.596915107924
72.0	13516.058277386088
73.0	13525.686346737344
74.0	13533.578994952626
75.0	13434.06619068186
76.0	13279.800087566491
77.0	12945.400920898272
78.0	12535.851972449895
79.0	12378.691940398323
80.0	12388.915017591118
81.0	12078.02547569015
82.0	11790.164785813122
83.0	11989.29241952398
84.0	12059.94556250429
85.0	12013.276776420524
86.0	12008.027862281935
87.0	11600.699600249865
88.0	10966.82933535714
89.0	10326.611253216128
90.0	9855.059554421256
91.0	8883.58607116929
92.0	8027.799792428045
93.0	6816.502296942604
94.0	6008.560692869388
95.0	4886.6795259863175
96.0	3505.6983217710717
97.0	2412.2848818764023
98.0	1267.1239245541412
99.0	197.93415251506173
