#Transcript position	Transcript coverage profile
0.0	5675.632311696191
1.0	6512.495614628689
2.0	7479.3255123490035
3.0	8074.393238543179
4.0	8700.531264983254
5.0	9422.45294731637
6.0	9684.728439780229
7.0	9992.457547911286
8.0	10075.154187107692
9.0	10172.014618056286
10.0	10380.352810011407
11.0	10593.54910039339
12.0	10771.483840151273
13.0	10768.914526708155
14.0	10896.744302581263
15.0	11017.61851435072
16.0	11111.002503303314
17.0	11444.029771223908
18.0	11591.743000879545
19.0	11629.213700846703
20.0	11608.367618004477
21.0	11619.49235863289
22.0	11784.265653575436
23.0	11850.095571507334
24.0	11814.585909737729
25.0	11999.329744975961
26.0	12172.510463980481
27.0	12640.118955907128
28.0	13201.286913990498
29.0	13597.556990590512
30.0	13307.03538842007
31.0	13079.645114451736
32.0	13152.30571731994
33.0	13338.911711546978
34.0	13185.35415411791
35.0	13322.20430557063
36.0	13002.732912857191
37.0	12645.097594385934
38.0	12646.896963840387
39.0	12778.088508140141
40.0	12863.486263252391
41.0	12969.609608712988
42.0	13432.307467909313
43.0	13586.361821883533
44.0	13497.73516803342
45.0	13645.477244733082
46.0	13692.609124877672
47.0	13570.948882191002
48.0	13097.1603824714
49.0	12806.568987097347
50.0	12791.173751571048
51.0	13067.786357656734
52.0	13060.569484135016
53.0	13216.192748817493
54.0	13566.012020338954
55.0	13406.961582560376
56.0	13140.976186276193
57.0	12871.00969106099
58.0	12597.895109827812
59.0	12223.729212270564
60.0	11990.00898283495
61.0	12155.153411501706
62.0	12439.19488704738
63.0	12471.21641274582
64.0	12560.180422725964
65.0	12438.561840220618
66.0	12245.788399103
67.0	12280.174307728592
68.0	12260.365574648242
69.0	11912.490569272712
70.0	11996.358076431818
71.0	11967.893427094356
72.0	12041.0275792691
73.0	12200.709864097791
74.0	12226.842467725837
75.0	12182.059360201722
76.0	11955.099182322656
77.0	11679.542141999
78.0	11313.85980018062
79.0	11084.818852583674
80.0	10872.326789820294
81.0	10634.481139101852
82.0	10356.633941891361
83.0	10246.353837480574
84.0	10114.598842354108
85.0	10190.146986904987
86.0	10492.881226663865
87.0	10232.227551861566
88.0	9600.577684785618
89.0	8967.46501842554
90.0	8409.438321167852
91.0	7825.329817473326
92.0	7173.998949469773
93.0	5941.680612617744
94.0	5216.450481579282
95.0	4332.07271261885
96.0	3195.9608444937326
97.0	2338.9788638304517
98.0	1333.9842515098537
99.0	294.76524227565164
