#Transcript position	Transcript coverage profile
0.0	36644.90550663081
1.0	39552.26515893336
2.0	42131.547813509314
3.0	43710.37350224584
4.0	45271.65482527636
5.0	46967.16308788096
6.0	48002.31032666108
7.0	48968.07274762309
8.0	49744.4497624903
9.0	50776.7885317123
10.0	51577.26624116251
11.0	52063.39819000667
12.0	52214.25674453585
13.0	52703.270808545734
14.0	53283.49480889156
15.0	53852.69019480006
16.0	54386.90537922947
17.0	55088.137425028486
18.0	55664.75345738118
19.0	55881.03058880069
20.0	56410.76560381578
21.0	56993.496028692825
22.0	57645.468300055945
23.0	58064.16703793843
24.0	58434.93185739533
25.0	58882.72364116827
26.0	59432.28012905479
27.0	59887.36298815303
28.0	60328.51656558785
29.0	60708.177431389464
30.0	60445.101573866326
31.0	60191.33465055091
32.0	60430.45895674961
33.0	60653.57474024637
34.0	60801.98965684294
35.0	61230.91769777355
36.0	61012.30237214654
37.0	60671.21502742571
38.0	60875.48939045357
39.0	61254.28223711188
40.0	61504.94147966251
41.0	61740.57343069657
42.0	62228.61867376785
43.0	62419.42333367098
44.0	62432.27163038911
45.0	62674.488548812085
46.0	62766.63832390824
47.0	62515.49944901162
48.0	62070.503064857076
49.0	62001.21953643538
50.0	62053.446435393096
51.0	62497.18413400975
52.0	62707.91407960886
53.0	62987.349490248256
54.0	63356.1213023539
55.0	63211.203222868615
56.0	62943.25844920141
57.0	62668.32346171594
58.0	62543.937200096974
59.0	62515.284991278095
60.0	62449.82401384539
61.0	62825.13675563256
62.0	63144.736280383775
63.0	63147.56876203214
64.0	63233.80174492925
65.0	63200.88265433489
66.0	62845.269312058816
67.0	62728.722425154905
68.0	62714.35155236127
69.0	62464.54924124816
70.0	62660.80053093415
71.0	62600.72440461429
72.0	62608.15254179274
73.0	62899.291425072246
74.0	62871.45600215054
75.0	62744.46241604347
76.0	62486.366222539255
77.0	62178.0018911224
78.0	61787.06351628634
79.0	61724.785816495656
80.0	61549.628217721365
81.0	61259.38755932879
82.0	60819.69296092692
83.0	60609.048082342226
84.0	60025.88412362917
85.0	59157.1019337309
86.0	58265.83002429326
87.0	56584.86750740101
88.0	54325.54322228518
89.0	51767.038191940046
90.0	48941.463124744354
91.0	45633.26256615077
92.0	41980.44261889294
93.0	37278.294729392626
94.0	32837.88394208919
95.0	27491.08312183284
96.0	21589.321019861593
97.0	15423.461159273653
98.0	8970.174058925486
99.0	2637.780471200107
